Id,Predicted
0, 0.09
1, 0.00
2, 0.51
3, 0.08
4, 1.00
5, 0.01
6, 0.60
7, 0.21
8, 0.38
9, 0.87
10, 0.53
11, 0.47
12, 0.05
13, 0.31
14, 1.00
15, 1.00
16, 1.00
17, 0.51
18, 0.78
19, 0.03
20, 0.53
21, 1.00
22, 0.49
23, 0.35
24, 0.29
25, 0.60
26, 0.73
27, 0.28
28, 0.62
29, 0.79
30, 0.37
31, 0.26
32, 0.66
33, 0.09
34, 0.29
35, 0.18
36, 0.29
37, 0.49
38, 0.24
39, 1.00
40, 0.77
41, 0.14
42, 0.81
43, 0.21
44, 1.00
45, 0.46
46, 0.83
47, 0.00
48, 0.07
49, 0.41
50, 0.10
51, 0.00
52, 0.00
53, 0.09
54, 0.07
55, 0.34
56, 0.38
57, 0.11
58, 0.03
59, 0.56
60, 0.73
61, 0.24
62, 0.00
63, 1.00
64, 1.00
65, 0.55
66, 0.83
67, 0.34
68, 0.01
69, 0.36
70, 0.71
71, 1.00
72, 1.00
73, 0.38
74, 0.00
75, 1.00
76, 0.51
77, 0.42
78, 0.57
79, 0.00
80, 0.81
81, 0.00
82, 0.00
83, 1.00
84, 0.01
85, 1.00
86, 0.35
87, 0.59
88, 0.20
89, 1.00
90, 0.52
91, 1.00
92, 0.61
93, 0.00
94, 1.00
95, 0.21
96, 0.01
97, 0.31
98, 1.00
99, 0.29
100, 0.35
101, 0.48
102, 0.00
103, 0.84
104, 0.71
105, 0.15
106, 0.07
107, 0.21
108, 0.43
109, 0.68
110, 0.00
111, 0.68
112, 0.01
113, 0.54
114, 0.40
115, 0.44
116, 0.29
117, 0.80
118, 0.00
119, 0.06
120, 0.00
121, 1.00
122, 0.00
123, 0.15
124, 0.25
125, 0.00
126, 0.72
127, 0.75
128, 0.85
129, 1.00
130, 0.00
131, 1.00
132, 0.00
133, 0.29
134, 0.51
135, 0.87
136, 0.00
137, 0.02
138, 0.16
139, 0.64
140, 0.74
141, 0.58
142, 0.82
143, 1.00
144, 1.00
145, 0.47
146, 0.30
147, 0.52
148, 0.68
149, 0.03
150, 0.03
151, 1.00
152, 0.00
153, 0.26
154, 0.47
155, 0.35
156, 0.00
157, 0.63
158, 0.33
159, 0.20
160, 0.18
161, 0.18
162, 0.60
163, 0.00
164, 0.41
165, 0.13
166, 0.00
167, 0.07
168, 1.00
169, 0.10
170, 0.36
171, 0.44
172, 0.60
173, 0.32
174, 0.07
175, 0.76
176, 0.04
177, 0.01
178, 0.63
179, 0.54
180, 0.31
181, 0.60
182, 1.00
183, 0.41
184, 0.16
185, 0.17
186, 0.44
187, 0.71
188, 0.84
189, 0.78
190, 0.89
191, 0.23
192, 0.77
193, 0.11
194, 0.19
195, 0.00
196, 0.48
197, 0.47
