ID,Predicted
0, 0.25
1, 0.21
2, 0.51
3, 0.22
4, 0.83
5, 0.19
6, 0.41
7, 0.47
8, 0.28
9, 0.60
10, 0.37
11, 0.57
12, 0.35
13, 0.59
14, 0.85
15, 0.76
16, 0.81
17, 0.75
18, 0.45
19, 0.22
20, 0.64
21, 0.81
22, 0.53
23, 0.50
24, 0.55
25, 0.43
26, 0.35
27, 0.43
28, 0.46
29, 0.20
30, 0.70
31, 0.33
32, 0.77
33, 0.20
34, 0.67
35, 0.21
36, 0.44
37, 0.40
38, 0.63
39, 0.33
40, 0.63
41, 0.47
42, 0.58
43, 0.72
44, 0.59
45, 0.42
46, 0.55
47, 0.34
48, 0.80
49, 0.20
50, 0.52
51, 0.23
52, 0.18
53, 0.40
54, 0.53
55, 0.62
56, 0.76
57, 0.23
58, 0.19
59, 0.56
60, 0.76
61, 0.29
62, 0.52
63, 0.84
64, 0.86
65, 0.24
66, 0.83
67, 0.43
68, 0.19
69, 0.77
70, 0.78
71, 0.81
72, 0.77
73, 0.66
74, 0.25
75, 0.76
76, 0.31
77, 0.50
78, 0.52
79, 0.22
80, 0.22
81, 0.55
82, 0.68
83, 0.86
84, 0.85
85, 0.51
86, 0.70
87, 0.48
88, 0.27
89, 0.85
90, 0.27
91, 0.75
92, 0.61
93, 0.69
94, 0.26
95, 0.71
96, 0.19
97, 0.60
98, 0.86
99, 0.50
100, 0.27
101, 0.65
102, 0.20
103, 0.63
104, 0.32
105, 0.72
106, 0.33
107, 0.63
108, 0.27
109, 0.83
110, 0.21
111, 0.24
112, 0.24
113, 0.73
114, 0.36
115, 0.59
116, 0.70
117, 0.72
118, 0.19
119, 0.65
120, 0.22
121, 0.42
122, 0.79
123, 0.36
124, 0.27
125, 0.19
126, 0.33
127, 0.84
128, 0.40
129, 0.42
130, 0.19
131, 0.86
132, 0.29
133, 0.60
134, 0.34
135, 0.79
136, 0.21
137, 0.27
138, 0.33
139, 0.76
140, 0.77
141, 0.38
142, 0.51
143, 0.46
144, 0.85
145, 0.49
146, 0.69
147, 0.45
148, 0.39
149, 0.27
150, 0.35
151, 0.82
152, 0.20
153, 0.20
154, 0.47
155, 0.57
156, 0.84
157, 0.72
158, 0.39
159, 0.21
160, 0.78
161, 0.53
162, 0.32
163, 0.23
164, 0.23
165, 0.41
166, 0.22
167, 0.40
168, 0.73
169, 0.29
170, 0.63
171, 0.62
172, 0.28
173, 0.78
174, 0.32
175, 0.39
176, 0.69
177, 0.26
178, 0.78
179, 0.61
180, 0.24
181, 0.42
182, 0.57
183, 0.43
184, 0.30
185, 0.64
186, 0.70
187, 0.61
188, 0.74
189, 0.61
190, 0.53
191, 0.71
192, 0.38
193, 0.84
194, 0.30
195, 0.33
196, 0.70
197, 0.44
198, 0.19
199, 0.21
200, 0.32
201, 0.24
202, 0.43
203, 0.33
204, 0.84
205, 0.28
206, 0.20
207, 0.34
208, 0.83
209, 0.47
210, 0.25
211, 0.40
212, 0.19
213, 0.65
214, 0.51
215, 0.53
216, 0.62
217, 0.78
218, 0.29
219, 0.19
220, 0.25
221, 0.61
222, 0.80
223, 0.71
224, 0.55
225, 0.41
226, 0.74
227, 0.37
228, 0.22
229, 0.22
230, 0.21
231, 0.21
232, 0.45
233, 0.40
234, 0.31
235, 0.22
236, 0.46
237, 0.23
238, 0.34
239, 0.55
240, 0.32
241, 0.23
242, 0.19
243, 0.27
244, 0.37
245, 0.36
246, 0.29
247, 0.84
248, 0.76
249, 0.28
250, 0.83
251, 0.21
252, 0.76
253, 0.21
254, 0.58
255, 0.78
256, 0.67
257, 0.74
258, 0.84
259, 0.34
260, 0.21
261, 0.22
262, 0.82
263, 0.84
264, 0.39
265, 0.24
266, 0.45
267, 0.75
268, 0.40
269, 0.68
270, 0.59
271, 0.45
272, 0.40
273, 0.19
274, 0.81
275, 0.48
276, 0.21
277, 0.22
278, 0.38
279, 0.32
280, 0.86
281, 0.81
282, 0.83
283, 0.52
284, 0.70
285, 0.27
286, 0.31
287, 0.49
288, 0.86
289, 0.66
290, 0.70
291, 0.34
292, 0.81
293, 0.36
294, 0.20
295, 0.61
296, 0.26
297, 0.33
298, 0.23
299, 0.75
300, 0.28
301, 0.69
302, 0.72
303, 0.22
304, 0.22
305, 0.72
306, 0.54
307, 0.31
308, 0.74
309, 0.51
310, 0.63
311, 0.20
312, 0.72
313, 0.41
314, 0.63
315, 0.81
316, 0.77
317, 0.83
318, 0.23
319, 0.19
320, 0.19
321, 0.85
322, 0.20
323, 0.22
324, 0.47
325, 0.63
326, 0.60
327, 0.52
328, 0.30
329, 0.42
330, 0.86
331, 0.59
332, 0.19
333, 0.20
334, 0.84
335, 0.81
336, 0.23
337, 0.39
338, 0.41
339, 0.61
340, 0.44
341, 0.59
342, 0.55
343, 0.19
344, 0.83
345, 0.72
346, 0.22
347, 0.54
348, 0.25
349, 0.66
350, 0.33
351, 0.24
352, 0.53
353, 0.60
354, 0.28
355, 0.76
356, 0.19
357, 0.58
358, 0.22
359, 0.73
360, 0.39
361, 0.36
362, 0.70
363, 0.56
364, 0.63
365, 0.47
366, 0.52
367, 0.45
368, 0.19
369, 0.21
370, 0.22
371, 0.75
372, 0.25
373, 0.42
374, 0.38
375, 0.27
376, 0.60
377, 0.44
378, 0.52
379, 0.34
380, 0.70
381, 0.20
382, 0.39
383, 0.60
384, 0.81
385, 0.26
386, 0.19
387, 0.66
388, 0.56
389, 0.20
390, 0.86
391, 0.24
392, 0.75
393, 0.29
394, 0.72
395, 0.57
396, 0.35
397, 0.84
398, 0.28
399, 0.72
400, 0.71
401, 0.26
402, 0.50
403, 0.46
404, 0.22
405, 0.62
406, 0.24
407, 0.49
408, 0.19
409, 0.67
410, 0.34
411, 0.37
412, 0.62
413, 0.54
414, 0.26
415, 0.76
416, 0.43
417, 0.75
418, 0.75
419, 0.49
420, 0.49
421, 0.33
422, 0.44
423, 0.78
424, 0.86
425, 0.81
426, 0.36
427, 0.82
428, 0.85
429, 0.22
430, 0.34
431, 0.80
432, 0.59
433, 0.22
434, 0.85
435, 0.59
436, 0.66
437, 0.58
438, 0.38
439, 0.22
440, 0.82
441, 0.26
442, 0.19
443, 0.34
444, 0.69
445, 0.52
446, 0.67
447, 0.22
448, 0.36
449, 0.55
450, 0.50
451, 0.20
452, 0.59
453, 0.38
454, 0.34
455, 0.74
456, 0.24
457, 0.54
458, 0.62
459, 0.57
460, 0.80
461, 0.73
462, 0.67
463, 0.84
464, 0.85
465, 0.41
466, 0.73
467, 0.68
468, 0.83
469, 0.67
470, 0.38
471, 0.49
472, 0.43
473, 0.25
474, 0.84
475, 0.79
476, 0.82
477, 0.34
478, 0.24
479, 0.53
480, 0.60
481, 0.86
482, 0.86
483, 0.49
484, 0.26
485, 0.74
486, 0.19
487, 0.86
488, 0.36
489, 0.36
490, 0.19
491, 0.54
492, 0.81
493, 0.67
494, 0.77
495, 0.38
496, 0.21
497, 0.65
498, 0.84
499, 0.54
500, 0.86
501, 0.29
502, 0.20
503, 0.32
504, 0.84
505, 0.86
506, 0.30
507, 0.70
508, 0.66
509, 0.55
510, 0.80
511, 0.31
512, 0.27
513, 0.22
514, 0.46
515, 0.71
516, 0.21
517, 0.76
518, 0.36
519, 0.32
520, 0.69
521, 0.73
522, 0.28
523, 0.27
524, 0.42
525, 0.72
526, 0.33
527, 0.61
528, 0.57
529, 0.59
530, 0.64
531, 0.36
532, 0.69
533, 0.69
534, 0.46
535, 0.29
536, 0.46
537, 0.61
538, 0.74
539, 0.59
540, 0.59
541, 0.35
542, 0.54
543, 0.86
544, 0.30
545, 0.41
546, 0.85
547, 0.34
548, 0.25
549, 0.30
550, 0.34
551, 0.27
552, 0.84
553, 0.21
554, 0.56
555, 0.67
556, 0.21
557, 0.78
558, 0.54
559, 0.55
560, 0.76
561, 0.20
562, 0.74
563, 0.85
564, 0.28
565, 0.82
566, 0.21
567, 0.84
568, 0.22
569, 0.86
570, 0.41
571, 0.33
572, 0.70
573, 0.19
574, 0.26
575, 0.54
576, 0.52
577, 0.38
578, 0.64
579, 0.80
580, 0.49
581, 0.76
582, 0.28
583, 0.52
584, 0.31
585, 0.68
586, 0.20
587, 0.47
588, 0.86
589, 0.18
590, 0.28
591, 0.58
592, 0.69
593, 0.84
594, 0.72
595, 0.51
596, 0.61
597, 0.29
598, 0.76
599, 0.71
600, 0.52
601, 0.85
602, 0.60
603, 0.19
604, 0.69
605, 0.18
606, 0.31
607, 0.22
608, 0.85
609, 0.22
610, 0.34
611, 0.60
612, 0.26
613, 0.31
614, 0.70
615, 0.28
616, 0.19
617, 0.26
618, 0.19
619, 0.22
620, 0.47
621, 0.45
622, 0.37
623, 0.74
624, 0.19
625, 0.20
626, 0.46
627, 0.86
628, 0.34
629, 0.65
630, 0.46
631, 0.21
632, 0.21
633, 0.64
634, 0.54
635, 0.38
636, 0.86
637, 0.45
638, 0.63
639, 0.37
640, 0.27
641, 0.43
642, 0.49
643, 0.57
644, 0.23
645, 0.36
646, 0.24
647, 0.52
648, 0.78
649, 0.32
650, 0.21
651, 0.53
652, 0.74
653, 0.69
654, 0.81
655, 0.33
656, 0.69
657, 0.79
658, 0.72
659, 0.35
660, 0.83
661, 0.37
662, 0.48
663, 0.54
664, 0.24
665, 0.40
666, 0.19
667, 0.86
668, 0.74
669, 0.84
670, 0.25
671, 0.79
672, 0.83
673, 0.84
674, 0.35
675, 0.83
676, 0.21
677, 0.42
678, 0.23
679, 0.66
680, 0.80
681, 0.84
682, 0.42
683, 0.36
684, 0.20
685, 0.77
686, 0.45
687, 0.52
688, 0.28
689, 0.69
690, 0.23
691, 0.76
692, 0.60
693, 0.35
694, 0.75
695, 0.53
696, 0.68
697, 0.32
698, 0.19
699, 0.44
700, 0.19
701, 0.22
702, 0.78
703, 0.37
704, 0.53
705, 0.63
706, 0.41
707, 0.19
708, 0.28
709, 0.60
710, 0.84
711, 0.44
712, 0.37
713, 0.58
714, 0.23
715, 0.25
716, 0.43
717, 0.27
718, 0.63
719, 0.55
720, 0.19
721, 0.31
722, 0.22
723, 0.20
724, 0.23
725, 0.33
726, 0.63
727, 0.66
728, 0.45
729, 0.28
730, 0.46
731, 0.21
732, 0.35
733, 0.86
734, 0.21
735, 0.26
736, 0.30
737, 0.35
738, 0.43
739, 0.25
740, 0.59
741, 0.22
742, 0.45
743, 0.21
744, 0.85
745, 0.59
746, 0.29
747, 0.32
748, 0.37
749, 0.38
750, 0.66
751, 0.29
752, 0.79
753, 0.86
754, 0.46
755, 0.77
756, 0.59
757, 0.77
758, 0.24
759, 0.62
760, 0.19
761, 0.23
762, 0.28
763, 0.22
764, 0.19
765, 0.47
766, 0.67
767, 0.44
768, 0.32
769, 0.80
770, 0.66
771, 0.69
772, 0.36
773, 0.81
774, 0.66
775, 0.85
776, 0.70
777, 0.62
778, 0.74
779, 0.63
780, 0.30
781, 0.33
782, 0.61
783, 0.68
784, 0.63
785, 0.25
786, 0.37
787, 0.30
788, 0.73
789, 0.22
790, 0.72
791, 0.58
792, 0.59
793, 0.32
794, 0.70
795, 0.73
796, 0.54
797, 0.57
798, 0.71
799, 0.84
800, 0.35
801, 0.78
802, 0.39
803, 0.22
804, 0.40
805, 0.27
806, 0.22
807, 0.62
808, 0.22
809, 0.37
810, 0.34
811, 0.82
812, 0.84
813, 0.21
814, 0.31
815, 0.20
816, 0.20
817, 0.28
818, 0.69
819, 0.40
820, 0.28
821, 0.19
822, 0.61
823, 0.53
824, 0.20
825, 0.43
826, 0.46
827, 0.68
828, 0.86
829, 0.69
830, 0.24
831, 0.79
832, 0.71
833, 0.59
834, 0.44
835, 0.67
836, 0.77
837, 0.34
838, 0.57
839, 0.36
840, 0.25
841, 0.22
842, 0.43
843, 0.20
844, 0.20
845, 0.30
846, 0.54
847, 0.19
848, 0.24
849, 0.76
850, 0.19
851, 0.33
852, 0.42
853, 0.69
854, 0.73
855, 0.82
856, 0.43
857, 0.37
858, 0.46
859, 0.45
860, 0.78
861, 0.27
862, 0.77
863, 0.34
864, 0.82
865, 0.24
866, 0.25
867, 0.22
868, 0.34
869, 0.36
870, 0.24
871, 0.40
872, 0.84
873, 0.80
874, 0.74
875, 0.19
876, 0.33
877, 0.23
878, 0.37
879, 0.39
880, 0.66
881, 0.52
882, 0.32
883, 0.70
884, 0.78
885, 0.29
886, 0.85
887, 0.22
888, 0.75
889, 0.45
890, 0.84
891, 0.33
892, 0.82
893, 0.19
894, 0.86
895, 0.63
896, 0.33
897, 0.63
898, 0.32
899, 0.33
900, 0.33
901, 0.67
902, 0.40
903, 0.45
904, 0.82
905, 0.83
906, 0.42
907, 0.83
908, 0.29
909, 0.79
910, 0.22
911, 0.58
912, 0.19
913, 0.39
914, 0.20
915, 0.79
916, 0.76
917, 0.84
918, 0.19
919, 0.72
920, 0.19
921, 0.62
922, 0.74
923, 0.67
924, 0.70
925, 0.41
926, 0.34
927, 0.83
928, 0.21
929, 0.29
930, 0.33
931, 0.21
932, 0.28
933, 0.60
934, 0.42
935, 0.28
936, 0.69
937, 0.37
938, 0.45
939, 0.41
940, 0.83
941, 0.21
942, 0.76
943, 0.66
944, 0.24
945, 0.36
946, 0.57
947, 0.86
948, 0.21
949, 0.68
950, 0.54
951, 0.80
952, 0.23
953, 0.73
954, 0.23
955, 0.37
956, 0.27
957, 0.28
958, 0.30
959, 0.62
960, 0.29
961, 0.25
962, 0.25
963, 0.19
964, 0.21
965, 0.22
966, 0.68
967, 0.71
968, 0.69
969, 0.51
970, 0.40
971, 0.21
972, 0.47
973, 0.20
974, 0.68
975, 0.40
976, 0.63
977, 0.77
978, 0.32
979, 0.21
980, 0.50
981, 0.51
982, 0.44
983, 0.30
984, 0.37
985, 0.66
986, 0.19
987, 0.42
988, 0.50
989, 0.44
990, 0.22
991, 0.84
992, 0.25
993, 0.31
994, 0.18
995, 0.33
996, 0.53
997, 0.73
998, 0.24
999, 0.25
1000, 0.21
1001, 0.48
1002, 0.27
1003, 0.45
1004, 0.85
1005, 0.83
1006, 0.20
1007, 0.84
1008, 0.28
1009, 0.23
1010, 0.23
1011, 0.22
1012, 0.82
1013, 0.23
1014, 0.23
1015, 0.32
1016, 0.55
1017, 0.51
1018, 0.48
1019, 0.82
1020, 0.19
1021, 0.30
1022, 0.76
1023, 0.42
1024, 0.32
1025, 0.19
1026, 0.85
1027, 0.46
1028, 0.84
1029, 0.46
1030, 0.86
1031, 0.83
1032, 0.57
1033, 0.43
1034, 0.74
1035, 0.53
1036, 0.34
1037, 0.39
1038, 0.36
1039, 0.47
1040, 0.26
1041, 0.68
1042, 0.83
1043, 0.27
1044, 0.58
1045, 0.52
1046, 0.23
1047, 0.43
1048, 0.19
1049, 0.18
1050, 0.22
1051, 0.79
1052, 0.80
1053, 0.39
1054, 0.30
1055, 0.85
1056, 0.18
1057, 0.46
1058, 0.32
1059, 0.49
1060, 0.78
1061, 0.55
1062, 0.49
1063, 0.29
1064, 0.71
1065, 0.20
1066, 0.86
1067, 0.52
1068, 0.82
1069, 0.59
1070, 0.72
1071, 0.86
1072, 0.61
1073, 0.65
1074, 0.18
1075, 0.30
1076, 0.24
1077, 0.50
1078, 0.71
1079, 0.22
1080, 0.81
1081, 0.33
1082, 0.41
1083, 0.78
1084, 0.77
1085, 0.37
1086, 0.53
1087, 0.30
1088, 0.76
1089, 0.80
1090, 0.44
1091, 0.80
1092, 0.59
1093, 0.22
1094, 0.45
1095, 0.66
1096, 0.36
1097, 0.60
1098, 0.64
1099, 0.44
1100, 0.38
1101, 0.57
1102, 0.81
1103, 0.52
1104, 0.57
1105, 0.28
1106, 0.19
1107, 0.52
1108, 0.21
1109, 0.25
1110, 0.75
1111, 0.28
1112, 0.80
1113, 0.36
1114, 0.80
1115, 0.76
1116, 0.20
1117, 0.23
1118, 0.24
1119, 0.69
1120, 0.85
1121, 0.60
1122, 0.33
1123, 0.82
1124, 0.82
1125, 0.27
1126, 0.28
1127, 0.31
1128, 0.78
1129, 0.52
1130, 0.31
1131, 0.57
1132, 0.54
1133, 0.66
1134, 0.30
1135, 0.26
1136, 0.31
1137, 0.46
1138, 0.62
1139, 0.34
1140, 0.82
1141, 0.28
1142, 0.64
1143, 0.44
1144, 0.63
1145, 0.44
1146, 0.36
1147, 0.20
1148, 0.85
1149, 0.85
1150, 0.74
1151, 0.21
1152, 0.79
1153, 0.22
1154, 0.26
1155, 0.28
1156, 0.20
1157, 0.59
1158, 0.31
1159, 0.70
1160, 0.51
1161, 0.37
1162, 0.25
1163, 0.52
1164, 0.86
1165, 0.86
1166, 0.54
1167, 0.42
1168, 0.61
1169, 0.47
1170, 0.29
1171, 0.45
1172, 0.81
1173, 0.59
1174, 0.85
1175, 0.54
1176, 0.69
1177, 0.19
1178, 0.21
1179, 0.40
1180, 0.33
1181, 0.67
1182, 0.34
1183, 0.75
1184, 0.79
1185, 0.57
1186, 0.84
1187, 0.71
1188, 0.40
1189, 0.56
1190, 0.24
1191, 0.86
1192, 0.75
1193, 0.74
1194, 0.75
1195, 0.45
1196, 0.26
1197, 0.23
1198, 0.22
1199, 0.84
1200, 0.39
1201, 0.51
1202, 0.33
1203, 0.86
1204, 0.22
1205, 0.64
1206, 0.19
1207, 0.71
1208, 0.24
1209, 0.20
1210, 0.49
1211, 0.34
1212, 0.83
1213, 0.67
1214, 0.55
1215, 0.71
1216, 0.49
1217, 0.22
1218, 0.27
1219, 0.57
1220, 0.22
1221, 0.85
1222, 0.63
1223, 0.78
1224, 0.64
1225, 0.25
1226, 0.73
1227, 0.22
1228, 0.35
1229, 0.39
1230, 0.29
1231, 0.25
1232, 0.80
1233, 0.69
1234, 0.78
1235, 0.23
1236, 0.86
1237, 0.58
1238, 0.82
1239, 0.74
1240, 0.60
1241, 0.63
1242, 0.70
1243, 0.70
1244, 0.20
1245, 0.80
1246, 0.41
1247, 0.23
1248, 0.60
1249, 0.57
1250, 0.70
1251, 0.31
1252, 0.80
1253, 0.50
1254, 0.57
1255, 0.64
1256, 0.86
1257, 0.77
1258, 0.80
1259, 0.52
1260, 0.19
1261, 0.43
1262, 0.35
1263, 0.24
1264, 0.76
1265, 0.42
1266, 0.31
1267, 0.33
1268, 0.75
1269, 0.49
1270, 0.49
1271, 0.34
1272, 0.83
1273, 0.83
1274, 0.75
1275, 0.23
1276, 0.39
1277, 0.19
1278, 0.25
1279, 0.83
1280, 0.29
1281, 0.22
1282, 0.19
1283, 0.69
1284, 0.59
1285, 0.85
1286, 0.57
1287, 0.74
1288, 0.73
1289, 0.27
1290, 0.51
1291, 0.70
1292, 0.79
1293, 0.83
1294, 0.73
1295, 0.67
1296, 0.36
1297, 0.81
1298, 0.23
1299, 0.19
1300, 0.22
1301, 0.78
1302, 0.21
1303, 0.29
1304, 0.19
1305, 0.40
1306, 0.84
1307, 0.48
1308, 0.57
1309, 0.29
1310, 0.31
1311, 0.53
1312, 0.21
1313, 0.42
1314, 0.80
1315, 0.85
1316, 0.21
1317, 0.19
1318, 0.32
1319, 0.47
1320, 0.79
1321, 0.34
1322, 0.24
1323, 0.33
1324, 0.30
1325, 0.29
1326, 0.44
1327, 0.47
1328, 0.34
1329, 0.80
1330, 0.29
1331, 0.38
1332, 0.76
1333, 0.35
1334, 0.73
1335, 0.69
1336, 0.81
1337, 0.39
1338, 0.79
1339, 0.84
1340, 0.45
1341, 0.21
1342, 0.40
1343, 0.55
1344, 0.74
1345, 0.76
1346, 0.24
1347, 0.45
1348, 0.32
1349, 0.24
1350, 0.54
1351, 0.68
1352, 0.24
1353, 0.31
1354, 0.49
1355, 0.39
1356, 0.20
1357, 0.62
1358, 0.66
1359, 0.22
1360, 0.70
1361, 0.34
1362, 0.86
1363, 0.86
1364, 0.45
1365, 0.55
1366, 0.37
1367, 0.86
1368, 0.20
1369, 0.54
1370, 0.72
1371, 0.67
1372, 0.77
1373, 0.26
1374, 0.26
1375, 0.86
1376, 0.62
1377, 0.18
1378, 0.42
1379, 0.61
1380, 0.43
1381, 0.74
1382, 0.21
1383, 0.52
1384, 0.28
1385, 0.74
1386, 0.65
1387, 0.50
1388, 0.83
1389, 0.32
1390, 0.79
1391, 0.81
1392, 0.27
1393, 0.74
1394, 0.61
1395, 0.75
1396, 0.37
1397, 0.40
1398, 0.33
1399, 0.21
1400, 0.49
1401, 0.64
1402, 0.54
1403, 0.79
1404, 0.20
1405, 0.22
1406, 0.30
1407, 0.79
1408, 0.43
1409, 0.22
1410, 0.85
1411, 0.23
1412, 0.86
1413, 0.73
1414, 0.68
1415, 0.18
1416, 0.82
1417, 0.32
1418, 0.36
1419, 0.39
1420, 0.59
1421, 0.19
1422, 0.79
1423, 0.30
1424, 0.36
1425, 0.41
1426, 0.46
1427, 0.34
1428, 0.79
1429, 0.32
1430, 0.36
1431, 0.71
1432, 0.77
1433, 0.83
1434, 0.73
1435, 0.25
1436, 0.23
1437, 0.33
1438, 0.20
1439, 0.64
1440, 0.55
1441, 0.26
1442, 0.21
1443, 0.30
1444, 0.50
1445, 0.22
1446, 0.22
1447, 0.19
1448, 0.25
1449, 0.19
1450, 0.53
1451, 0.71
1452, 0.70
1453, 0.74
1454, 0.31
1455, 0.50
1456, 0.40
1457, 0.70
1458, 0.19
1459, 0.32
1460, 0.36
1461, 0.19
1462, 0.40
1463, 0.38
1464, 0.29
1465, 0.26
1466, 0.79
1467, 0.19
1468, 0.72
1469, 0.50
1470, 0.25
