Id,Predicted
0, 0.14
1, 0.00
2, 0.41
3, 0.19
4, 0.99
5, 0.00
6, 0.56
7, 0.23
8, 0.27
9, 0.34
10, 0.51
11, 0.36
12, 0.82
13, 0.58
14, 1.00
15, 1.00
16, 1.00
17, 0.65
18, 0.58
19, 0.81
20, 0.29
21, 1.00
22, 0.47
23, 0.54
24, 0.28
25, 0.46
26, 0.60
27, 0.27
28, 0.50
29, 0.46
30, 0.40
31, 0.31
32, 0.59
33, 0.12
34, 0.92
35, 0.23
36, 0.41
37, 0.47
38, 0.43
39, 1.00
40, 0.63
41, 0.12
42, 0.62
43, 0.42
44, 1.00
45, 0.35
46, 0.52
47, 0.00
48, 0.42
49, 0.90
50, 0.16
51, 0.00
52, 0.00
53, 0.20
54, 0.16
55, 0.33
56, 0.25
57, 0.10
58, 0.09
59, 0.49
60, 0.51
61, 0.91
62, 0.00
63, 1.00
64, 1.00
65, 0.37
66, 0.98
67, 0.33
68, 0.00
69, 0.47
70, 0.68
71, 1.00
72, 1.00
73, 0.14
74, 0.00
75, 0.99
76, 0.28
77, 0.30
78, 0.33
79, 0.00
80, 0.53
81, 0.49
82, 0.49
83, 1.00
84, 0.49
85, 0.99
86, 0.93
87, 0.41
88, 0.82
89, 1.00
90, 0.36
91, 1.00
92, 0.44
93, 0.49
94, 1.00
95, 0.36
96, 0.04
97, 0.50
98, 1.00
99, 0.27
100, 0.30
101, 0.45
102, 0.00
103, 0.98
104, 0.58
105, 0.89
106, 0.22
107, 0.26
108, 0.30
109, 0.97
110, 0.00
111, 0.62
112, 0.12
113, 0.58
114, 0.50
115, 0.55
116, 0.49
117, 0.46
118, 0.00
119, 0.84
120, 0.00
121, 1.00
122, 0.49
123, 0.15
124, 0.22
125, 0.00
126, 0.93
127, 0.66
128, 0.63
129, 0.99
130, 0.00
131, 0.99
132, 0.00
133, 0.90
134, 0.36
135, 0.61
136, 0.00
137, 0.07
138, 0.34
139, 0.98
140, 0.38
141, 0.38
142, 0.62
143, 1.00
144, 1.00
145, 0.41
146, 0.38
147, 0.34
148, 0.56
149, 0.10
150, 0.07
151, 1.00
152, 0.00
153, 0.18
154, 0.36
155, 0.90
156, 0.00
157, 0.61
158, 0.46
159, 0.33
160, 0.56
161, 0.49
162, 0.60
163, 0.00
164, 0.47
165, 0.92
166, 0.06
167, 0.21
168, 1.00
169, 0.09
170, 0.21
171, 0.46
172, 0.46
173, 0.93
174, 0.30
175, 0.64
176, 0.12
177, 0.00
178, 0.41
179, 0.27
180, 0.34
181, 0.39
182, 1.00
183, 0.38
184, 0.47
185, 0.24
186, 0.52
187, 0.53
188, 0.78
189, 0.45
190, 0.80
191, 0.35
192, 0.45
193, 0.16
194, 0.38
195, 0.00
196, 0.45
197, 0.49
198, 0.00
199, 0.00
200, 0.43
201, 0.19
202, 0.29
203, 0.31
204, 0.97
205, 0.14
206, 0.00
207, 0.61
208, 1.00
209, 0.61
210, 0.06
211, 0.70
212, 0.20
213, 0.54
214, 0.22
215, 0.56
216, 0.62
217, 0.38
218, 0.28
219, 0.00
220, 0.00
221, 0.33
222, 0.00
223, 0.00
224, 0.31
225, 0.28
226, 0.33
227, 1.00
228, 0.73
229, 0.16
230, 0.02
231, 0.00
232, 0.42
233, 0.18
234, 0.00
235, 0.18
236, 0.37
237, 0.00
238, 0.59
239, 0.22
240, 0.11
241, 0.30
242, 0.00
243, 0.00
244, 0.29
245, 0.45
246, 0.89
247, 0.94
248, 0.34
249, 0.02
250, 1.00
251, 0.37
252, 0.36
253, 0.02
254, 0.37
255, 0.45
256, 0.48
257, 0.59
258, 0.59
259, 0.23
260, 0.00
261, 0.00
262, 0.00
263, 1.00
264, 0.41
265, 0.37
266, 0.24
267, 0.75
268, 0.39
269, 0.26
270, 0.42
271, 0.99
272, 0.49
273, 0.19
274, 0.94
275, 0.95
276, 0.90
277, 0.00
278, 1.00
279, 0.15
280, 1.00
281, 0.95
282, 1.00
283, 0.41
284, 0.64
285, 0.95
286, 0.24
287, 0.52
288, 1.00
289, 0.22
290, 0.54
291, 0.27
292, 1.00
293, 0.34
294, 0.00
295, 0.47
296, 0.00
297, 0.31
298, 0.00
299, 0.44
300, 0.24
301, 0.92
302, 0.47
303, 0.28
304, 0.62
305, 0.97
306, 0.38
307, 0.87
308, 0.88
309, 0.47
310, 0.45
311, 0.00
312, 1.00
313, 0.39
314, 0.44
315, 0.58
316, 0.51
317, 0.96
318, 0.11
319, 0.03
320, 0.16
321, 1.00
322, 0.09
323, 0.00
324, 0.95
325, 1.00
326, 0.28
327, 0.17
328, 0.34
329, 0.46
330, 0.00
331, 0.32
332, 0.00
333, 0.00
334, 1.00
335, 0.59
336, 0.10
337, 0.48
338, 0.38
339, 0.68
340, 0.56
341, 0.35
342, 0.13
343, 0.00
344, 1.00
345, 0.57
346, 0.00
347, 0.16
348, 0.83
349, 0.95
350, 0.99
351, 0.18
352, 0.59
353, 0.96
354, 0.49
355, 0.35
356, 0.15
357, 0.00
358, 0.29
359, 0.45
360, 0.80
361, 0.54
362, 0.33
363, 0.95
364, 0.28
365, 0.64
366, 0.65
367, 1.00
368, 0.49
369, 0.01
370, 0.19
371, 0.99
372, 0.82
373, 0.91
374, 1.00
375, 0.88
376, 0.42
377, 0.32
378, 0.46
379, 0.40
380, 0.43
381, 0.00
382, 0.00
383, 0.51
384, 0.43
385, 0.27
386, 0.00
387, 0.43
388, 0.99
389, 0.00
390, 1.00
391, 0.46
392, 0.51
393, 0.31
394, 0.58
395, 0.39
396, 0.89
397, 0.00
398, 0.31
399, 0.99
400, 0.46
401, 0.88
402, 0.60
403, 0.55
404, 0.12
405, 0.35
406, 0.06
407, 0.49
408, 0.46
409, 0.13
410, 0.00
411, 0.99
412, 0.50
413, 0.41
414, 0.00
415, 0.31
416, 0.22
417, 1.00
418, 0.38
419, 0.87
420, 0.54
421, 0.90
422, 0.25
423, 0.99
424, 1.00
425, 0.81
426, 0.55
427, 0.99
428, 1.00
429, 0.00
430, 0.25
431, 0.99
432, 0.61
433, 0.41
434, 1.00
435, 0.70
436, 0.54
437, 0.46
438, 0.57
439, 0.00
440, 1.00
441, 0.17
442, 0.08
443, 0.34
444, 0.55
445, 0.33
446, 0.45
447, 0.00
448, 0.32
449, 1.00
450, 0.79
451, 0.00
452, 0.94
453, 0.00
454, 0.04
455, 0.27
456, 0.35
457, 0.22
458, 0.58
459, 0.42
460, 0.98
461, 0.53
462, 0.65
463, 1.00
464, 1.00
465, 0.91
466, 0.36
467, 0.93
468, 1.00
469, 0.50
470, 0.20
471, 0.43
472, 0.19
473, 0.45
474, 1.00
475, 0.99
476, 1.00
477, 0.28
478, 0.00
479, 0.11
480, 0.54
481, 1.00
482, 1.00
483, 0.57
484, 0.00
485, 0.97
486, 0.19
487, 1.00
488, 0.31
489, 0.21
490, 0.08
491, 0.00
492, 0.34
493, 0.39
494, 0.21
495, 0.07
496, 0.12
497, 0.54
498, 0.99
499, 0.99
500, 0.99
501, 0.09
502, 0.00
503, 0.43
504, 0.49
505, 1.00
506, 0.70
507, 1.00
508, 0.34
509, 0.20
510, 0.69
511, 0.49
512, 0.26
513, 0.15
514, 0.28
515, 0.52
516, 0.16
517, 0.99
518, 0.16
519, 0.12
520, 0.00
521, 0.54
522, 0.00
523, 0.26
524, 0.49
525, 0.52
526, 0.52
527, 0.73
528, 0.69
529, 0.23
530, 0.42
531, 0.59
532, 0.29
533, 0.70
534, 0.25
535, 0.42
536, 0.33
537, 0.59
538, 0.49
539, 0.00
540, 1.00
541, 0.63
542, 0.52
543, 1.00
544, 0.36
545, 0.34
546, 1.00
547, 0.22
548, 0.11
549, 0.08
550, 0.22
551, 0.35
552, 1.00
553, 0.00
554, 0.63
555, 0.45
556, 0.00
557, 1.00
558, 0.64
559, 0.61
560, 0.41
561, 0.26
562, 0.46
563, 1.00
564, 0.26
565, 0.99
566, 0.18
567, 1.00
568, 0.83
569, 1.00
570, 0.38
571, 0.91
572, 0.63
573, 0.00
574, 0.44
575, 0.62
576, 0.88
577, 0.97
578, 0.44
579, 0.49
580, 0.48
581, 0.38
582, 0.14
583, 0.55
584, 0.25
585, 0.38
586, 0.09
587, 0.35
588, 0.00
589, 0.15
590, 0.35
591, 0.92
592, 0.72
593, 1.00
594, 0.54
595, 1.00
596, 0.36
597, 0.38
598, 0.61
599, 0.63
600, 0.92
601, 1.00
602, 0.36
603, 0.11
604, 0.95
605, 0.04
606, 0.07
607, 0.00
608, 1.00
609, 0.01
610, 0.29
611, 0.58
612, 0.19
613, 0.20
614, 0.45
615, 0.29
616, 0.29
617, 0.50
618, 0.24
619, 0.00
620, 0.27
621, 0.55
622, 0.55
623, 0.42
624, 0.10
625, 0.42
626, 0.20
627, 1.00
628, 0.41
629, 0.58
630, 0.35
631, 0.11
632, 0.00
633, 0.38
634, 1.00
635, 0.60
636, 1.00
637, 0.64
638, 0.31
639, 0.59
640, 0.87
641, 0.69
642, 0.28
643, 0.70
644, 0.85
645, 0.50
646, 0.05
647, 0.16
648, 1.00
649, 0.41
650, 0.11
651, 0.41
652, 0.39
653, 0.95
654, 1.00
655, 0.05
656, 0.59
657, 0.39
658, 0.00
659, 0.42
660, 1.00
661, 0.33
662, 0.40
663, 0.49
664, 0.17
665, 0.18
666, 0.29
667, 1.00
668, 0.46
669, 1.00
670, 0.89
671, 0.42
672, 1.00
673, 0.96
674, 0.32
675, 1.00
676, 0.00
677, 0.00
678, 0.00
679, 0.54
680, 1.00
681, 1.00
682, 0.45
683, 0.13
684, 0.53
685, 0.36
686, 0.35
687, 0.55
688, 0.07
689, 0.00
690, 0.28
691, 0.99
692, 0.40
693, 0.15
694, 0.95
695, 0.27
696, 0.57
697, 0.42
698, 0.40
699, 0.66
700, 0.20
701, 0.02
702, 0.33
703, 0.36
704, 0.03
705, 0.23
706, 0.18
707, 0.00
708, 0.14
709, 0.00
710, 1.00
