Id,Predicted
0, 0.42
1, 0.15
2, 0.38
3, 0.34
4, 0.82
5, 0.11
6, 0.64
7, 0.26
8, 0.36
9, 0.39
10, 0.49
11, 0.50
12, 0.59
13, 0.49
14, 0.91
15, 0.96
16, 0.93
17, 0.58
18, 0.58
19, 0.47
20, 0.43
21, 0.72
22, 0.42
23, 0.53
24, 0.49
25, 0.47
26, 0.53
27, 0.49
28, 0.54
29, 0.46
30, 0.51
31, 0.38
32, 0.59
33, 0.20
34, 0.59
35, 0.40
36, 0.50
37, 0.47
38, 0.36
39, 0.90
40, 0.56
41, 0.39
42, 0.51
43, 0.43
44, 0.97
45, 0.48
46, 0.46
47, 0.19
48, 0.46
49, 0.55
50, 0.25
51, 0.31
52, 0.09
53, 0.30
54, 0.37
55, 0.42
56, 0.50
57, 0.26
58, 0.27
59, 0.48
60, 0.61
61, 0.45
62, 0.16
63, 0.90
64, 0.95
65, 0.40
66, 0.66
67, 0.47
68, 0.15
69, 0.47
70, 0.60
71, 0.98
72, 0.97
73, 0.45
74, 0.10
75, 0.61
76, 0.49
77, 0.49
78, 0.44
79, 0.20
80, 0.39
81, 0.41
82, 0.44
83, 0.99
84, 0.54
85, 0.84
86, 0.50
87, 0.43
88, 0.57
89, 0.97
90, 0.52
91, 0.98
92, 0.60
93, 0.48
94, 0.94
95, 0.62
96, 0.21
97, 0.49
98, 0.98
99, 0.43
100, 0.44
101, 0.46
102, 0.14
103, 0.59
104, 0.50
105, 0.32
106, 0.34
107, 0.40
108, 0.39
109, 0.83
110, 0.11
111, 0.52
112, 0.35
113, 0.58
114, 0.53
115, 0.57
116, 0.46
117, 0.48
118, 0.13
119, 0.44
120, 0.13
121, 0.88
122, 0.30
123, 0.41
124, 0.36
125, 0.12
126, 0.53
127, 0.62
128, 0.60
129, 0.35
130, 0.11
131, 0.92
132, 0.19
133, 0.38
134, 0.48
135, 0.61
136, 0.19
137, 0.19
138, 0.45
139, 0.66
140, 0.49
141, 0.42
142, 0.65
143, 0.94
144, 0.96
145, 0.51
146, 0.40
147, 0.43
148, 0.50
149, 0.31
150, 0.19
151, 0.96
152, 0.27
153, 0.28
154, 0.47
155, 0.56
156, 0.27
157, 0.50
158, 0.56
159, 0.36
160, 0.57
161, 0.64
162, 0.61
163, 0.18
164, 0.43
165, 0.55
166, 0.34
167, 0.41
168, 0.98
169, 0.35
170, 0.43
171, 0.46
172, 0.35
173, 0.53
174, 0.33
175, 0.58
176, 0.34
177, 0.12
178, 0.43
179, 0.38
180, 0.35
181, 0.44
182, 0.94
183, 0.33
184, 0.45
185, 0.51
186, 0.48
187, 0.64
188, 0.60
189, 0.49
190, 0.71
191, 0.52
192, 0.60
193, 0.42
194, 0.39
195, 0.26
196, 0.49
197, 0.56
198, 0.11
199, 0.17
200, 0.46
201, 0.38
202, 0.42
203, 0.42
204, 0.73
205, 0.26
206, 0.12
207, 0.47
208, 0.94
209, 0.54
210, 0.36
211, 0.53
212, 0.29
213, 0.54
214, 0.42
215, 0.47
216, 0.59
217, 0.41
218, 0.40
219, 0.17
220, 0.16
221, 0.49
222, 0.28
223, 0.09
