ID,Predicted
0, 0.38
1, 0.28
2, 0.57
3, 0.35
4, 0.63
5, 0.33
6, 0.59
7, 0.43
8, 0.45
9, 0.41
10, 0.49
11, 0.52
12, 0.57
13, 0.60
14, 0.56
15, 0.60
16, 0.58
17, 0.52
18, 0.58
19, 0.27
20, 0.51
21, 0.66
22, 0.56
23, 0.50
24, 0.33
25, 0.46
26, 0.55
27, 0.57
28, 0.52
29, 0.45
30, 0.62
31, 0.43
32, 0.56
33, 0.33
34, 0.34
35, 0.47
36, 0.50
37, 0.51
38, 0.50
39, 0.55
40, 0.48
41, 0.44
42, 0.53
43, 0.50
44, 0.55
45, 0.41
46, 0.58
47, 0.56
48, 0.54
49, 0.50
50, 0.33
51, 0.53
52, 0.35
53, 0.40
54, 0.42
55, 0.49
56, 0.49
57, 0.35
58, 0.42
59, 0.44
60, 0.55
61, 0.39
62, 0.46
63, 0.55
64, 0.59
65, 0.35
66, 0.70
67, 0.42
68, 0.34
69, 0.56
70, 0.57
71, 0.59
72, 0.60
73, 0.53
74, 0.50
75, 0.50
76, 0.50
77, 0.37
78, 0.48
79, 0.28
80, 0.62
81, 0.52
82, 0.67
83, 0.67
84, 0.62
85, 0.57
86, 0.66
87, 0.41
88, 0.38
89, 0.56
90, 0.44
91, 0.51
92, 0.52
93, 0.67
94, 0.48
95, 0.52
96, 0.39
97, 0.50
98, 0.53
99, 0.57
100, 0.46
101, 0.50
102, 0.38
103, 0.56
104, 0.55
105, 0.60
106, 0.44
107, 0.48
108, 0.39
109, 0.69
110, 0.38
111, 0.57
112, 0.36
113, 0.58
114, 0.55
115, 0.50
116, 0.63
117, 0.55
118, 0.48
119, 0.40
120, 0.32
121, 0.49
122, 0.63
123, 0.43
124, 0.50
125, 0.39
126, 0.55
127, 0.66
128, 0.33
129, 0.55
130, 0.31
131, 0.59
132, 0.40
133, 0.59
134, 0.44
135, 0.56
136, 0.37
137, 0.29
138, 0.55
139, 0.60
140, 0.61
141, 0.52
142, 0.55
143, 0.65
144, 0.53
145, 0.49
146, 0.44
147, 0.45
148, 0.31
149, 0.32
150, 0.42
151, 0.64
152, 0.36
153, 0.33
154, 0.49
155, 0.45
156, 0.50
157, 0.60
158, 0.38
159, 0.36
160, 0.58
161, 0.56
162, 0.45
163, 0.32
164, 0.44
165, 0.59
166, 0.27
167, 0.63
168, 0.57
169, 0.48
170, 0.53
171, 0.49
172, 0.61
173, 0.52
174, 0.42
175, 0.53
176, 0.45
177, 0.39
178, 0.53
179, 0.50
180, 0.38
181, 0.52
182, 0.50
183, 0.43
184, 0.44
185, 0.64
186, 0.53
187, 0.46
188, 0.60
189, 0.55
190, 0.53
191, 0.63
192, 0.44
193, 0.67
194, 0.35
195, 0.59
196, 0.54
197, 0.58
198, 0.54
199, 0.29
200, 0.48
201, 0.26
202, 0.51
203, 0.47
204, 0.73
205, 0.50
206, 0.39
207, 0.52
208, 0.66
209, 0.56
210, 0.54
211, 0.48
212, 0.29
213, 0.50
214, 0.42
215, 0.62
216, 0.57
217, 0.51
218, 0.51
219, 0.33
220, 0.49
221, 0.49
222, 0.62
223, 0.54
224, 0.45
225, 0.52
226, 0.46
227, 0.49
228, 0.51
229, 0.48
230, 0.26
231, 0.39
232, 0.53
233, 0.42
234, 0.27
235, 0.27
236, 0.51
237, 0.36
238, 0.49
239, 0.51
240, 0.45
241, 0.30
242, 0.40
243, 0.52
244, 0.53
245, 0.57
246, 0.48
247, 0.56
248, 0.50
249, 0.39
250, 0.63
251, 0.32
252, 0.50
253, 0.28
254, 0.46
255, 0.64
256, 0.56
257, 0.57
258, 0.59
259, 0.40
260, 0.29
261, 0.27
262, 0.59
263, 0.67
264, 0.41
265, 0.45
266, 0.44
267, 0.64
268, 0.50
269, 0.53
270, 0.51
271, 0.54
272, 0.49
273, 0.42
274, 0.56
275, 0.58
276, 0.33
277, 0.27
278, 0.34
279, 0.45
280, 0.64
281, 0.61
282, 0.64
283, 0.49
284, 0.51
285, 0.56
286, 0.41
287, 0.53
288, 0.69
289, 0.45
290, 0.56
291, 0.40
292, 0.58
293, 0.44
294, 0.56
295, 0.62
296, 0.44
297, 0.52
298, 0.42
299, 0.60
300, 0.39
301, 0.59
302, 0.38
303, 0.45
304, 0.46
305, 0.51
306, 0.57
307, 0.56
308, 0.54
309, 0.39
310, 0.57
311, 0.38
312, 0.64
313, 0.52
314, 0.49
315, 0.53
316, 0.49
317, 0.64
318, 0.39
319, 0.26
320, 0.24
321, 0.63
322, 0.32
323, 0.20
324, 0.61
325, 0.48
326, 0.54
327, 0.33
328, 0.34
329, 0.44
330, 0.67
331, 0.57
332, 0.35
333, 0.35
334, 0.68
335, 0.62
336, 0.29
337, 0.45
338, 0.53
339, 0.53
340, 0.57
341, 0.63
342, 0.54
343, 0.30
344, 0.61
345, 0.59
346, 0.43
347, 0.34
348, 0.40
349, 0.52
350, 0.63
351, 0.42
352, 0.51
353, 0.57
354, 0.53
355, 0.59
356, 0.33
357, 0.54
358, 0.40
359, 0.54
360, 0.39
361, 0.49
362, 0.54
363, 0.57
364, 0.59
365, 0.56
366, 0.62
367, 0.51
368, 0.46
369, 0.28
370, 0.44
371, 0.50
372, 0.39
373, 0.60
374, 0.66
375, 0.39
376, 0.44
377, 0.52
378, 0.57
379, 0.55
380, 0.60
381, 0.52
382, 0.42
383, 0.59
384, 0.57
385, 0.49
386, 0.37
387, 0.52
388, 0.57
389, 0.37
390, 0.65
391, 0.57
392, 0.62
393, 0.43
394, 0.51
395, 0.54
396, 0.49
397, 0.56
398, 0.56
399, 0.43
400, 0.52
401, 0.34
402, 0.60
403, 0.53
404, 0.33
405, 0.56
406, 0.25
407, 0.69
408, 0.38
409, 0.52
410, 0.35
411, 0.53
412, 0.58
413, 0.53
414, 0.24
