Id,Predicted
0, 0.00
1, 0.00
2, 0.00
3, 0.00
4, 1.00
5, 0.00
6, 1.00
7, 0.00
8, 0.00
9, 1.00
10, 1.00
11, 1.00
12, 0.00
13, 0.00
14, 1.00
15, 1.00
16, 1.00
17, 1.00
18, 1.00
19, 0.00
20, 1.00
21, 1.00
22, 0.00
23, 0.00
24, 0.00
25, 0.00
26, 1.00
27, 0.00
28, 1.00
29, 0.00
30, 0.00
31, 0.00
32, 1.00
33, 0.00
34, 0.00
35, 0.00
36, 0.00
37, 1.00
38, 0.00
39, 1.00
40, 1.00
41, 0.00
42, 1.00
43, 0.00
44, 1.00
45, 1.00
46, 0.00
47, 0.00
48, 1.00
49, 0.00
50, 0.00
51, 0.00
52, 0.00
53, 0.00
54, 0.00
55, 1.00
56, 0.00
57, 0.00
58, 0.00
59, 1.00
60, 1.00
61, 0.00
62, 0.00
63, 1.00
64, 1.00
65, 0.00
66, 1.00
67, 0.00
68, 0.00
69, 0.00
70, 1.00
71, 1.00
72, 1.00
73, 0.00
74, 0.00
75, 1.00
76, 1.00
77, 1.00
78, 0.00
79, 0.00
80, 1.00
81, 0.00
82, 1.00
83, 1.00
84, 1.00
85, 1.00
86, 1.00
87, 0.00
88, 0.00
89, 1.00
90, 0.00
91, 1.00
92, 1.00
93, 0.00
94, 1.00
95, 0.00
96, 0.00
97, 0.00
98, 1.00
99, 0.00
100, 1.00
101, 1.00
102, 0.00
103, 0.00
104, 1.00
105, 0.00
106, 0.00
107, 0.00
108, 0.00
109, 1.00
110, 0.00
111, 0.00
112, 0.00
113, 1.00
114, 0.00
115, 0.00
116, 1.00
117, 1.00
118, 0.00
119, 0.00
120, 0.00
121, 1.00
122, 1.00
123, 0.00
124, 0.00
125, 0.00
126, 1.00
127, 1.00
128, 1.00
129, 0.00
130, 0.00
131, 1.00
132, 0.00
133, 0.00
134, 0.00
135, 1.00
136, 0.00
137, 0.00
138, 0.00
139, 1.00
140, 1.00
141, 0.00
142, 1.00
143, 1.00
144, 1.00
145, 0.00
146, 0.00
147, 0.00
148, 0.00
149, 0.00
150, 0.00
151, 1.00
152, 0.00
153, 0.00
154, 1.00
155, 0.00
156, 0.00
157, 0.00
158, 1.00
159, 0.00
160, 1.00
161, 0.00
162, 1.00
163, 0.00
164, 0.00
165, 1.00
166, 0.00
167, 0.00
168, 1.00
169, 0.00
170, 0.00
171, 1.00
172, 1.00
173, 1.00
174, 0.00
175, 1.00
176, 0.00
177, 0.00
178, 1.00
179, 0.00
180, 0.00
181, 0.00
182, 1.00
183, 0.00
184, 0.00
185, 0.00
186, 1.00
187, 0.00
188, 1.00
189, 1.00
190, 1.00
191, 1.00
192, 1.00
193, 0.00
194, 0.00
195, 0.00
196, 1.00
197, 1.00
198, 0.00
199, 0.00
200, 1.00
201, 0.00
202, 0.00
203, 0.00
204, 1.00
205, 0.00
206, 0.00
207, 0.00
208, 1.00
209, 1.00
210, 0.00
211, 1.00
212, 0.00
213, 0.00
214, 0.00
215, 1.00
216, 1.00
217, 1.00
218, 0.00
219, 0.00
220, 0.00
221, 0.00
222, 0.00
223, 0.00
224, 0.00
225, 0.00
226, 0.00
227, 1.00
228, 0.00
229, 0.00
230, 0.00
231, 0.00
232, 0.00
233, 0.00
234, 0.00
235, 0.00
236, 1.00
237, 0.00
238, 0.00
239, 0.00
240, 0.00
241, 1.00
242, 0.00
243, 0.00
244, 0.00
245, 1.00
246, 1.00
247, 1.00
248, 0.00
249, 0.00
250, 1.00
251, 0.00
252, 0.00
253, 0.00
254, 1.00
255, 0.00
256, 1.00
257, 1.00
258, 1.00
259, 0.00
260, 0.00
261, 0.00
262, 0.00
263, 1.00
264, 0.00
265, 1.00
266, 0.00
267, 1.00
