ID,Predicted
0, 0.51
1, 0.16
2, 0.51
3, 0.42
4, 0.98
5, 0.16
6, 0.51
7, 0.42
8, 0.42
9, 0.42
10, 0.42
11, 0.51
12, 0.27
13, 0.51
14, 0.97
15, 1.00
16, 0.97
17, 0.51
18, 0.42
19, 0.66
20, 0.42
21, 0.72
22, 0.51
23, 0.51
24, 0.42
25, 0.42
26, 0.51
27, 0.51
28, 0.42
29, 0.42
30, 0.51
31, 0.42
32, 0.42
33, 0.42
34, 0.66
35, 0.51
36, 0.42
37, 0.42
38, 0.51
39, 0.97
40, 0.42
41, 0.42
42, 0.42
43, 0.51
44, 0.97
45, 0.42
46, 0.42
47, 0.16
48, 0.51
49, 0.66
50, 0.16
51, 0.16
52, 0.16
53, 0.51
54, 0.42
55, 0.51
56, 0.51
57, 0.42
58, 0.42
59, 0.42
60, 0.51
61, 0.66
62, 0.16
63, 0.72
64, 0.97
65, 0.42
66, 0.66
67, 0.42
68, 0.16
69, 0.42
70, 0.51
71, 0.97
72, 0.97
73, 0.42
74, 0.16
75, 0.40
76, 0.51
77, 0.42
78, 0.42
79, 0.16
80, 0.42
81, 0.43
82, 0.43
83, 0.97
84, 0.84
85, 0.94
86, 0.66
87, 0.42
88, 0.27
89, 0.97
90, 0.42
91, 0.97
92, 0.42
93, 0.43
94, 0.97
95, 0.42
96, 0.42
97, 0.42
98, 1.00
99, 0.42
100, 0.51
101, 0.42
102, 0.16
103, 0.66
104, 0.51
105, 0.66
106, 0.51
107, 0.51
108, 0.42
109, 0.66
110, 0.16
111, 0.42
112, 0.42
113, 0.42
114, 0.51
115, 0.51
116, 0.51
117, 0.42
118, 0.16
119, 0.66
120, 0.16
121, 0.72
122, 0.43
123, 0.51
124, 0.51
125, 0.16
126, 0.66
127, 0.51
128, 0.42
129, 0.85
130, 0.16
131, 0.94
132, 0.16
133, 0.66
134, 0.42
135, 0.42
136, 0.16
137, 0.42
138, 0.42
139, 0.66
140, 0.42
141, 0.42
142, 0.42
143, 1.00
144, 0.97
145, 0.51
146, 0.42
147, 0.42
148, 0.42
149, 0.42
150, 0.42
151, 1.00
152, 0.16
153, 0.42
154, 0.51
155, 0.66
156, 0.16
157, 0.51
158, 0.42
159, 0.42
160, 0.43
161, 0.42
162, 0.42
163, 0.16
164, 0.51
165, 0.27
166, 0.02
167, 0.51
168, 0.97
169, 0.42
170, 0.51
171, 0.42
172, 0.42
173, 0.66
174, 0.51
175, 0.51
176, 0.51
177, 0.16
178, 0.51
179, 0.42
180, 0.42
181, 0.42
182, 0.97
183, 0.51
184, 0.42
185, 0.42
186, 0.42
187, 0.42
188, 0.51
189, 0.42
190, 0.51
191, 0.51
192, 0.42
193, 0.42
194, 0.42
195, 0.16
196, 0.51
197, 0.51
198, 0.16
199, 0.16
200, 0.51
201, 0.51
202, 0.51
203, 0.51
204, 0.66
205, 0.42
206, 0.16
207, 0.42
208, 1.00
209, 0.42
210, 0.42
211, 0.42
212, 0.42
213, 0.51
214, 0.42
215, 0.42
216, 0.51
217, 0.51
218, 0.42
219, 0.02
220, 0.16
221, 0.42
222, 0.16
223, 0.16
224, 0.42
225, 0.42
226, 0.42
227, 0.97
228, 0.51
229, 0.42
230, 0.16
231, 0.16
232, 0.42
233, 0.51
234, 0.16
235, 0.16
236, 0.42
237, 0.16
238, 0.51
239, 0.42
240, 0.42
241, 0.51
242, 0.16
243, 0.16
244, 0.42
245, 0.51
246, 0.66
247, 0.66
248, 0.42
249, 0.16
250, 0.97
251, 0.42
252, 0.51
253, 0.02
254, 0.42
255, 0.51
256, 0.42
257, 0.42
258, 0.51
259, 0.42
260, 0.02
261, 0.16
262, 0.16
263, 1.00
264, 0.42
265, 0.42
266, 0.42
267, 0.51
268, 0.42
269, 0.42
270, 0.51
271, 0.40
272, 0.43
273, 0.51
274, 0.66
275, 0.66
276, 0.66
277, 0.16
278, 0.65
279, 0.51
280, 0.97
281, 0.66
282, 0.97
283, 0.42
284, 0.51
285, 0.66
286, 0.42
287, 0.51
288, 0.97
289, 0.42
290, 0.42
291, 0.51
292, 0.97
293, 0.42
294, 0.16
295, 0.88
296, 0.16
297, 0.51
298, 0.02
299, 0.51
300, 0.42
301, 0.66
302, 0.42
303, 0.51
304, 0.42
305, 0.66
306, 0.51
307, 0.66
308, 0.66
309, 0.42
310, 0.51
311, 0.16
312, 0.97
313, 0.51
314, 0.42
315, 0.42
316, 0.42
317, 0.66
318, 0.42
319, 0.02
320, 0.51
321, 1.00
322, 0.16
323, 0.16
324, 0.66
325, 0.97
326, 0.51
327, 0.42
328, 0.51
329, 0.42
330, 0.16
331, 0.42
332, 0.16
333, 0.16
334, 0.97
335, 0.51
336, 0.42
337, 0.42
338, 0.42
339, 0.51
340, 0.51
341, 0.51
342, 0.42
343, 0.16
344, 1.00
345, 0.51
346, 0.16
347, 0.42
348, 0.66
349, 0.66
350, 0.94
351, 0.42
352, 0.51
353, 0.66
354, 0.42
355, 0.42
356, 0.42
357, 0.16
358, 0.42
359, 0.42
360, 0.66
361, 0.42
362, 0.43
363, 0.66
364, 0.51
365, 0.42
366, 0.51
367, 0.72
368, 0.43
369, 0.16
370, 0.51
371, 0.85
372, 0.66
373, 0.98
374, 0.72
375, 0.66
376, 0.42
377, 0.42
378, 0.42
379, 0.51
380, 0.42
381, 0.16
382, 0.16
383, 0.42
384, 0.51
385, 0.51
386, 0.16
387, 0.42
388, 0.40
389, 0.02
390, 0.97
391, 0.42
392, 0.51
393, 0.51
394, 0.42
395, 0.42
396, 0.66
397, 0.16
398, 0.42
399, 0.94
400, 0.42
401, 0.66
402, 0.51
403, 0.42
404, 0.42
405, 0.51
406, 0.16
407, 0.43
408, 0.42
409, 0.51
410, 0.16
411, 0.40
412, 0.42
413, 0.51
414, 0.16
415, 0.51
416, 0.42
417, 1.00
418, 0.42
419, 0.66
420, 0.51
421, 0.66
422, 0.51
423, 0.40
424, 1.00
425, 0.51
426, 0.42
427, 0.66
428, 0.97
429, 0.16
430, 0.51
431, 0.40
432, 0.42
433, 0.16
434, 0.97
435, 0.51
436, 0.43
437, 0.42
438, 0.51
439, 0.16
440, 0.97
441, 0.42
442, 0.42
443, 0.51
444, 0.42
445, 0.51
446, 0.42
447, 0.16
448, 0.42
449, 0.72
450, 0.66
451, 0.16
452, 0.66
453, 0.45
454, 0.42
455, 0.42
456, 0.42
457, 0.42
458, 0.51
459, 0.42
460, 0.66
461, 0.42
462, 0.42
463, 0.97
464, 0.72
465, 0.27
466, 0.51
467, 0.66
468, 1.00
469, 0.51
470, 0.51
471, 0.51
472, 0.42
473, 0.51
474, 0.97
475, 0.40
476, 1.00
477, 0.42
478, 0.16
479, 0.42
480, 0.43
481, 0.72
482, 1.00
483, 0.42
484, 0.16
485, 0.66
486, 0.42
487, 1.00
488, 0.42
489, 0.51
490, 0.42
491, 0.16
492, 0.51
493, 0.42
494, 0.42
495, 0.42
496, 0.42
497, 0.51
498, 0.85
499, 0.66
500, 0.94
501, 0.42
502, 0.02
503, 0.51
504, 0.43
505, 0.97
506, 0.51
507, 1.00
508, 0.51
509, 0.42
510, 0.51
511, 0.42
512, 0.42
513, 0.42
514, 0.42
515, 0.51
516, 0.42
517, 0.94
518, 0.42
519, 0.42
520, 0.16
521, 0.42
522, 0.16
523, 0.42
524, 0.43
525, 0.42
526, 0.42
527, 0.51
528, 0.42
529, 0.42
530, 0.42
531, 0.42
532, 0.51
533, 0.51
534, 0.42
535, 0.51
536, 0.42
537, 0.42
538, 0.88
539, 0.16
540, 0.97
541, 0.42
542, 0.42
543, 0.97
544, 0.42
545, 0.42
546, 1.00
547, 0.51
548, 0.42
549, 0.42
550, 0.42
551, 0.51
552, 1.00
553, 0.16
554, 0.51
555, 0.42
556, 0.16
557, 0.97
558, 0.51
559, 0.42
560, 0.42
561, 0.51
562, 0.42
563, 0.97
564, 0.42
565, 0.94
566, 0.51
567, 0.97
568, 0.66
569, 0.97
570, 0.42
571, 0.27
572, 0.42
573, 0.16
